sem,Qns,Answer,Discussion,Team,Case Study,Trainer's Notes
Topic 1 Qn 129,129,A,"A. 
Deployment - allows users to define state eg specific number of replicas (pods). if a pod fails, the deployment automatically replaces it.

Pod is incorrect as it does not have built in scaling or self healing capabilties

Service - creates internal IP and internal DNS name for deployment. If underlying pods are scaled up and down, the DNS name remains constant = microservices can communicate with each other

ingress is wrong - ingress is designed to route external HTTP traffic from outside cluster to internal services. Question states that microservices should remain internal to cluster.",3,,
Topic 1 Qn 130,130,C,"Reason: it allows the networking team to manage all network resources as the host vpc, while allowing the dev team to manage their own compute resources independently
A and D is wrong as cloud VPN would need to manage two network environments, making it more complicated + networking team does not have  centralised control 
B is wrong as putting everything in a single project file would not hide the sensitive data + networking team can potentially access compute environment + no security boundaries",3,,
Topic 1 Qn 131,131,D,storing static data is always using cloud storage bucket,3,,
Topic 1 Qn 132,132,C,"pub/sub ensures real-time delivery, and cloud function is used for the event driven use-case",3,,
Topic 1 Qn 133,133,C,No public IP or VPN is required + IAM-controlled access (least privilege),3,,
Topic 1 Qn 134,134,,"This is a hierarchical system. Roles given the Organization will be given to the children. Have to remove organization role, since it will override any other policies/permissions in the folder level
",3,,
Topic 1 Qn 135,135,B,"Istio is used for internal security, distributed metrics, traffic mirroring or fault injection btw microservices inside a cluster",4,,
Topic 1 Qn 136,136,A,no operation overhead,4,,
Topic 1 Qn 137,137,C,"development best practice, allows users' existing applications to remain stable, and migrate to the new API version when they are ready. Option A wrong: distribution list or relying on emails can be missed, professional APIs must manage transition through code and architecture, not just communication. Option B wrong: documentation is a great practice, but it does not prevent users' application from breaking (i.e. it informs, but does not provide technical mechanism to keep their existing application working). Option D wrong: adding 'deprecated' is non-standard, most api clients expect version numbering for consistency and predictability.",4,,
Topic 1 Qn 138,138,C,,4,,
Topic 1 Qn 139,139,A,allows you to simulate thousands of concurrent users hammering your GKE application.,4,,
Topic 1 Qn 140,140,D,"When dealing with message queues, don't scale based on CPU. Scale application based on the size of the message backlog.",4,,
Topic 1 Qn 141,141,C,"A is incorrect: timestamps are not completely unique. Multiple commits can happen within the same minute.
B is incorrect: Manual and error-prone due to Human process.
D is incorrect: Using the :latest tag is one of the most dangerous container deployment anti-patterns. The :latest tag is overwritten every single time a new build runs. If you have 5 instances running :latest, you have absolutely no way of knowing which code variant is actually active inside each container.",1,,
Topic 1 Qn 142,142,B,Minimize operational overhead so A and C is out. Standard for its scale to zero and no need for flex since Go is supported,1,,
Topic 1 Qn 143,143,D,Raw data needs to be untouched before any processing and cloud storage bucket fits the bill,1,,
Topic 1 Qn 144,144,B,"Different departments, different folders",1,,
Topic 1 Qn 145,145,C,"We've only ever worked with binary authorization, lol A is an attack surface, B and D is highly manual ",1,,
Topic 1 Qn 146,146,B,"I see TB, I see transfer appliance, I click",1,,"Use transfer appliance if more then 1 TB of data, less then 1 TB use gcloud storage


https://docs.cloud.google.com/storage-transfer/docs/transfer-options "
Topic 1 Qn 147,147,C,"Key words: Max performance, Min downtime and data loss
Option A has a potential to lose an hour worth of data.
Option B, gcs-fuse has high latency.
Option D only has local SSD, in the event of zone failure all data is lost.",2,,
Topic 1 Qn 148,148,D,d is the only option that satisfies both the requirement that generates the key outside of google cloud and that the sensitive data remains encrypted while in the data warehouse. a & b are wrong as the new key is being generated inside of google cloud by using cloud key management service. c is wrong because it is decrypting the data before storing it which makes importing an external key redundant.,2,,
Topic 1 Qn 149,149,B,"A would require the manual encryption of the data after creating the key. C also manually encrypts the data, and the key is not managed.
D creates the encryption key to then be used as a csek for the bucket, but the key must still be secured, rotated and generated manually.
B encrypts all data in the bucket automatically and the key is securely managed by google",2,,
Topic 1 Qn 150,150,A,"A > use private cluster to assign private IP.  Cloud NAT Gateway for outbound traffic to internet third party services. 
Not B and C as PGA is for connecting to Google’s native services. 
Not D as setting up custom proxy instance would require a public IP address,",2,,
Topic 1 Qn 151,151,D,"A and B are incorrect as Private Google Access does not facilitate outbound routing from an App Engine app to an internal network.
C is incorrect as it is not the mechanism used to connect App Engine Standard to your own VPC.
D is correct as serverless VPC access creates a connector that allows serverless environments to send internal traffic directly into your VPC.",2,,
Topic 1 Qn 152,152,D,"Option D uses native tools efficiently. You can use gsutil hash -c to calculate the CRC32C fingerprint of your local file on-premises. Then, you use gsutil ls -L to fetch the metadata (including the hash) of the file and compare the two fingerprints.

A and C are incorrect as they require the files to be downloaded back from cloud storage  - increase costs and efforts

B is incorrect - develop custom java app to compute hash means increased efforts",2,,
Topic 1 Qn 153,153,A,"Extracts all necessary request latency metrics 
Not B - Cloud trace is for monitoring & visualizing latency. Not designed for continuous metric collection and setting alert policies
Not C - Cloud profiler used to monitor CPU & memory usage of app functions. Doesnt measure request latency SLOs and cant trigger latency alerting policies
Not D -  Anthos Config Management is a iaac & policy management tool - not a observability platform",3,,
Topic 1 Qn 154,154,A,"A reduces latency with working infrastructures. 
Option B and D  are incorrect as both do not help reduce latency for users in Asia. 
Option C is out as kubemci is a legacy tool. Would have been the go to if it was changed to Ingress for Anthos as google’s load balancer can still route to the next healthy cluster. 
",3,,
Topic 1 Qn 155,155,D,"Rightsizing helps with optimization resources. It matches the on-prem VM initially
Not A - autoscaling solves traffic scaling, not right-sizing + doesnt identify optimal machine type
Not B - Migration is from VM-based app - so may not be container ready for dockerfile
Not C - creating multiple VMs and doing guess-and-check to find optimal is not cost effective
",3,,
Topic 1 Qn 156,156,C,For Data Exfiltration it will always be VPC Service Control,3,,
Topic 1 Qn 157,157,D,,3,,"
You can only specify node affinity labels on a node template. You can't specify node affinity labels on a node group
https://docs.cloud.google.com/compute/docs/nodes/sole-tenant-nodes#node_templates 

Answer: D"
Topic 1 Qn 158,158,B,"Option B - Allows Minimal Code Changes due to using Linux VMs. Allow auto-scaling which allows to run multiple VMs instances simultaneously which reduces the time to finish the test suite.
Definitely not D. A is not right as there was no mention of a network in the question. 
C is not right as Dataproc is a data service, not related to the question.
",3,,
Topic 1 Qn 159,159,C,hey antonio,4,,
Topic 1 Qn 160,160,D,???,4,,
Topic 1 Qn 161,161,C,"Option A wrong: Stackdriver is for alerting. Option B wrong: it finds the vm creation but question is asking for network origin creation. Option D wrong: impractical and only shows who logged in recently, nothing about the origin, also the logs inside the system could have been tampered with.Option C right: focus on logging, selection of network events and create/insert entry displays JSON code string which contains creators' email and the action. ",4,,
Topic 1 Qn 162,162,D,"reason why its not A and C is because its entirely manual process so they are wrong. Then for B, although, it is something you are able to do on GCP, because you first need to share the snapshot between the 2 projects across different zones, and we are looking for a easy process. so the more correct option would be D (which is the standard procedure).",4,,
Topic 1 Qn 163,163,B,They offer exceptionally high IOPS and ultra-low latency compared to standard Persistent Disks,4,,
Topic 1 Qn 164,164,ABF,"Safe and effective load testing requires isolating the test environment (B), measuring core database performance (A), and collecting detailed metrics (F) to find bottlenecks without risking live production.",4,,
Topic 1 Qn 165,165,B,"A is incorrect: Project Owner (Over-priviledged)
C is incorrect: Org Admin has full power at Organization level (Over-priviledged)
D is incorrect: Couples Project Owner (over-privileged) with Network Admin (allows modifying network resources, not required)",1,,
Topic 1 Qn 166,166,BE,"It's faster than the choice D & E. D is valid but since the question prioritizes release speed, B & E is the more appropriate choice.",1,,
Topic 1 Qn 167,167,C,The other choices are too laborious/manual/disruptive.,1,,
Topic 1 Qn 168,168,AC,"Choice A is the most simple & efficient task to do, B uses persistent disk to store data which is not ideal, D is setting us up for failure because a single VM creates a single point of failure, so C is the other choice to pick ",1,,
Topic 1 Qn 169,169,BC,"Compute engine can easily be eliminated, leaving us with just B and C.",1,,
Topic 1 Qn 170,170,C,"C is the only choice which mentioned signatures, the other methods are too primitive.",1,,
Topic 1 Qn 171,171,C,"Option A is a hassle and costly.
Option B lets developers have access to production projects.
Option D is creating outside of the organization.",2,,
Topic 1 Qn 172,172,D,"Option A and C, gcs-fuse will make it slow.
Option B is expensive as the instance will need to scale up to match the demand.",2,,
Topic 1 Qn 173,173,A,"a is correct as standard logs are retained for typically 30 days so the filter to export the logs to the cloud storage bucket is most appropriate to keep the logs for a year. b is wrong as it captures traffic metadata not the logs that the team wants. c is wrong as the dashboard just visualises the data and does not save it, so if the logs have expired after 30 days the dashboard is also not going to be able to display them. d is wrong because pub sub is a messaging service not an archival storage solution and it only retains messages for a maximum of 31 days",2,,
Topic 1 Qn 174,174,A,"Process and Store data without any of the PII
Answer is A
B, C both hold the data in a cloud bucket including the PII
D has two issues first is asking external partners for the solution and second skipping data in columns that have PII may not be thorough enough
A modifies the data before storage with DLP and satisfies all the requirements",2,,
Topic 1 Qn 175,175,A,"A: Aggregated log sink dynamically cascades the logging rule downward to every single child project in Production.
Not B as it pull logs from every single project 
Not C and D as it requires you to create log exports in each production project. C doesn't capture logs for new production projects and D requires granting of IAM access to run queries on the datasets.
",2,,
Topic 1 Qn 176,176,A,"Key pointers to take note are logs to be kept for 2 years, solution compliant, minimizes costs
B is incorrect as cron job does not have bucket lock
C and D are incorrect because of setting time_partitioning_expiration to 30 days which fail requirement
By process elimination A is correct as it fufills the requirements",2,,
Topic 1 Qn 177,177,A,"A: It strictly prohibits anyone from granting IAM roles to users or service accounts that do not belong to your approved Cloud Identit. 
Option B: it applies the wrong constraint. Blocking the creation of service accounts prevents developers from creating service accounts for automation 
C: External user can be granted user and download sensitive data and only get deleted 59 mins later. 
D: Giving a technical user ""Project Owner"" at the root level and leaving its credentials on a Compute Engine instance running a cron job introduces a massive security risk",2,,
Topic 1 Qn 178,178,C,"D is wrong as it doesn't solve the root cause, requiring more costs as well
A is wrong as it HBase and NodeJS are just interfaces and will not deal with the cluster
B is wrong as deleting does not solve the solve the active issue",3,,
Topic 1 Qn 179,179,C,"The best practice is to include the use of an authorised view, used for security to share data without giving direct access to the source. 
A and D are wrong as both do not create authorised views, causing  the DS team to access the PII 
B is wrong as creating materialised views is for query optimisation, not security ",3,,
Topic 1 Qn 180,180,B,"Cloud-to-Cloud transfers using STS is entirely free only pay standard data egress                                                          A - gsutil not suitable for large scale 3rd party transfers and too slow for 10 TB 
D - Download and re-upload is costly and slow and not scalable
C - too expensive and slow requires physical device to be shipped 
",3,,
Topic 1 Qn 181,181,C,"A and D is wrong as we cant guarantee that the OS will execute the script successfully
Both options still require the dying VM’s internal shutdown script to execute successfully.
B is out as restarting the script during shutdown process can create an infinite loop",3,,
Topic 1 Qn 182,182,A,"Browser-based CLI on GCP environment preventing the need to install or configure. B requires the maintenance of a VM, C and D requires installing and maintenance on every device.",3,,
Topic 1 Qn 183,183,C,"A - Cannot VPC Peering as there are overlapping subnets between the networks. But questions claimed no overlapping subnets hence cannot be A. As, It states not overlapping subnets on the application but not the network.
B - Migrating and Re-launching is a massive untaking.
D - SSH is unstable and non-scalable application-level workaround.
",3,,
Topic 1 Qn 184,184,A,"Question is asking to find the underlying issue. A monitoring tool and logs are used to detect such issues. Hence the answer would be A.
Other answers are reactive solutions, not analysing the issue",3,,
Topic 1 Qn 185,185,A,,4,,
Topic 1 Qn 186,186,C,reduced infrastructure costs without compromising the application's availability.,4,,
Topic 1 Qn 187,187,B,,4,,
Topic 1 Qn 188,188,A,"VPC Peering designed to connect 2 VPC network so that instances can communicated using their internal IP Address, regardless whether they are same/different project/orgranization. With VPC Peering connecting 2 networks via Google private, traffic does not traverse public internet, hence latency is minimized and throughput is maximized. VPC Peering is also efficient to setup, compared to gateway instances or complex tunnel management. Option B wrong: Cloud VPN would work to connect the 2 VPC, but it is sub-optimal for this scenario as Cloud VPN routes traffic through an IPSec tunnel, which adds processing overhead (encapsulation/decryption), resulting in higher latency and lower throughput compared to a more direct path solution provided by VPC Peering. Cloud VPN should be used only when connecting to on-premises or 3rd party cloud. Option C wrong: IAP is for secure admin access, not for network communication. Option D wrong: Massive operational overhead, introduces single point of failure (the VPN instances), and performs worse than native solution. ",4,,
Topic 1 Qn 189,189,B,Object Versioning is a feature that allows you to store multiple versions of an object in Cloud Storage.,4,,
Topic 1 Qn 190,190,C,"By changing the filter to combine used, buffered, cached, and slab, you are instructing the autoscaler to aggregate all memory that isn't completely free",4,,
Topic 1 Qn 191,191,A,"It gives you Google's 99.99% uptime guarantee without making you pay for extra, unnecessary hardware.",4,,
https://www.examtopics.com/exams/google/professional-cloud-architect/view/4/,,,,,Q: 192 - 267,
Topic 1 Qn 192,192,A,,1,,"A signed URL gives time-limited read or write access to a specific Cloud Storage resource. Your App Engine backend generates this URL securely and passes it to the client's browser. The browser can then use this URL to perform a POST or PUT request to upload the file directly to Cloud Storage without needing Google credentials or IAM roles.

CORS Configuration (Browser Security): Because the browser is viewing a website hosted on App Engine (e.g., example.appspot.com) but sending a request to Cloud Storage (storage.googleapis.com), the browser will block the request due to Same-Origin Policy unless Cross-Origin Resource Sharing (CORS) is configured. Setting a CORS configuration on the target bucket allows it to accept incoming requests from your App Engine application's domain."
Topic 1 Qn 193,193,B,,1,,"Private Google Access lets you access Google APIs and services in Google's production infrastructure e.g. YT, Gmaps
bastion host is when external needs to access an instance w/o public IP
cloud NAT(Network Address Translation) is used to reach to internet services without public IP while still preventing the public internet from initiating a connection to them

IAP is for application-level access control instead of relying on network-level firewalls"
Topic 1 Qn 194,194,D,,1,,C or D but according to official docs need to use sole tenant https://cloud.google.com/compute/docs/images/creating-custom-windows-byol-images#use_the_custom_image 
Topic 1 Qn 195,195,A,,1,,"100% system availability = HA setup will give 99.99%
Classic VPN only 99.9% SLA 
cost optimization so cannot be two HA cloud VPN"
Topic 1 Qn 196,196,D,"10TB = 10 000GB = 80 000 Gb so 80 000Gb/1Gbps = 80 000 seconds = 22 hrs which is way less than the one week transfer appliance take at min. B would violate ""You want to minimize the time it takes to complete this activity and the overall cost""",1,,https://cloud.google.com/storage-transfer/docs/transfer-options  B
Topic 1 Qn 197,197,A,"only option A contains the retention lock line, which is fit for the question scenario",1,,"retention lock to prevent bucket from being modified or deleted

B and D is applied on the organisation, not needed
C: encrypts, but doesn't prevent deletion/overwriting
A: retention policy prevents accidental deletion + lock prevent policy from being modified"
Topic 1 Qn 198,198,D,Key words: both APIs need to be working,2,,"A: might require a new DNS record
B: doesn't require the old API to be kept
C: more complex, rather use load balancer to handle routing"
Topic 1 Qn 199,199,C,"the current policy uses multiple AND statements on the same metric data point, but there can only be one state at a time so the filter returns no data",2,,"probably can't fit all the conditions since using AND operator. 

state = 'cached': Memory used for caching disk reads.
state = 'buffered': Memory used for I/O buffers.
state = 'used': Active application memory (excluding cached/buffered memory)

metric.label.state = 'slab' is a specific filtering condition used in Cloud Monitoring to isolate kernel slab memory usage on a Linux Virtual Machine

GAUGE is the correct target type for memory utilization metrics, which fluctuate up and down over time. DELTA_PER_MINUTE is used for cumulative/rate-based metrics (like counting errors or log entries over time)."
Topic 1 Qn 200,200,B,"Question states there is an existing VPN tunnel and the priority is avoiding data exfiltration. A,D are ways of accessing resources. C manages identity but the roles still allow downloading and execution of code. Thus none of the options effectively prevent data exfiltration",2,,"VPC Service Controls define a security perimeter around Google Cloud resources to constrain data within a VPC and mitigate data exfiltration risks.
Private Google Access access Google APIs and services in Google's production infrastructure. "
Topic 1 Qn 201,201,,,2,,"VM Manager is a suite of tools to manage, govern, and patch VMs. https://docs.cloud.google.com/compute/docs/vm-manager 

Config Sync is to manage configurations inside Kubernetes clusters (Anthos/GKE). 
Cloud Build and Cloud Deploy form a CI/CD pipeline service for building and deploying application containers.
Cloud Scheduler (a trigger not an executor) to schedule virtually any job, including batch, big data jobs, cloud infrastructure operations. allows you to automate virtually any task by triggering actions on a time-based schedule. It natively supports three types of targets:
HTTP/S endpoints: Triggers public or private webhooks, Cloud Functions, or Cloud Run services.
Pub/Sub topics: Broadcasts a message to a topic to kick off asynchronous, decoupled workflows.
App Engine HTTP requests: Triggers specific handlers within an App Engine application"
Topic 1 Qn 202,202,B,"By process elimination, remove A as it lacks advanced visual data-mapping tools, remove C and D as they are data analytics and replication tools that to not provide transformation. Best choice is B as it is an Integration Platform as a Service (iPaaS) and have all the tools which includes built-in enterprise connectors, visual data mapping and transformation and real time consistency",2,,"Application Integration is Integration Platform as a Service (iPaaS) to connect your applications visually to point-and-click configurations. https://cloud.google.com/application-integration?hl=en  

Workflows is a fully managed, serverless orchestration service. It allows you to seamlessly chain together microservices, Google Cloud products (like Cloud Run or BigQuery), and external HTTP APIs."
Topic 1 Qn 203,203,"A, B","The question states that the site serves static content and the requirements are to reduce latency to world users.
So we choose option:
A - Routes users to the nearest healthy instance Reduces latency globally
B - Attaches to load balancer, Cloud CDN caches these files close to users worldwide.",2,,"Media CDN is Google Cloud's media delivery solution. Media CDN complements Cloud CDN, which is Google Cloud's web acceleration solution. Media CDN is optimized for high-throughput egress workloads, such as streaming video and large file downloads."
Topic 1 Qn 204,204,"B, E",So we choose option:,3,,"""understand and manage costs"" labels allow you to filter, group, and analyze your spending.
IAC consistent, cost-optimized configurations "
Topic 1 Qn 205,205,B,A - Routes users to the nearest healthy instance Reduces latency globally,3,,"AlloyDB in default configuration comes with only a private IP by default, sits inside your VPC network. 

Cloud Run is a serverless platform. When your application runs inside Cloud Run and wants to connect to anything on the internet, its outbound traffic routes over the public internet by default. 

not D: resolve the issue as quickly as possible. migration will take time

Tell Cloud Run to stop sending traffic out to the public internet and instead plug directly into your internal network -> Enabling Direct VPC Egress on your Cloud Run service acts like running a private virtual network cable from the serverless container straight into your project's VPC network. -> Cloud Run can successfully route traffic using the private internal IP address, and your application will instantly connect to AlloyDB. https://docs.cloud.google.com/alloydb/docs/quickstart/integrate-cloud-run  "
Topic 1 Qn 206,206,A,"B - Attaches to load balancer, Cloud CDN caches these files close to users worldwide.",3,,"Artifact Analysis is for software composition analysis, metadata storage and retrieval. Its detection points are built into a number of Google Cloud products such as Artifact Registry and Google Kubernetes Engine (GKE) for quick enablement. The service works with both Google Cloud's first-party products and also lets you store information from third-party sources. The scanning services use a common vulnerability store for matching files against known vulnerabilities. Can run automatically or on-demand scans container images pushed to Artifact Registry for vulnerabilities.

https://docs.cloud.google.com/artifact-analysis/docs/artifact-analysis  

Binary Authorization ensure only authorized and digitally signed container images/build images are deployed."
Topic 1 Qn 207,207,C,private endpoints,3,,"""(GKE) cluster with a private endpoint."" only way to interact with this GKE cluster is if you are in the same VPC as this GKE cluster.
By default, when you run a build on Cloud Build, the build runs in a secure, hosted environment with access to the public internet. https://docs.cloud.google.com/build/docs/private-pools/private-pools-overview 
https://docs.cloud.google.com/build/docs/overview#default_pools_and_private_pools 
Private pools are private, dedicated pools of workers that offer greater customization over the build environment, including the ability to access resources in a private network.

GKE (Google Kubernetes Engine): This is where your application actually runs. 
Cloud Build is responsible packaging the app and build the container image. Use runtime workers (worker pool) is in public internet by default -> so cant communicate to GKE cluster. -> create Cloud Build Private Pool in the same VPC 
Cloud Deploy delivery pipeline is a fully managed, opinionated continuous delivery service that automates the promotion of your applications through a predefined sequence of target environments (e.g., Development -> Staging -> Production)"
Topic 1 Qn 208,208,D,Migration center supports SAP workloads + Use Googles in-built automated discovery tool,3,,"https://docs.cloud.google.com/migration-center/docs/migration-center-overview let you estimate your cloud costs, scan and assess your infrastructure, and plan your migration without making changes to your applications or workloads.
https://docs.cloud.google.com/migration-center/docs/estimate/overview"
Topic 1 Qn 209,209,,,3,,
Topic 1 Qn 210,210,D,Retrieval cost for Coldline is cheaper,4,,"Standard: Best for frequently accessed data (hot data) and website hosting.
Nearline: Low-cost, highly durable for data accessed less than once a month.
Coldline: Highly durable, low-cost storage for data accessed at most once a quarter.
Archive: Lowest-cost, highly durable storage for disaster recovery, backups, or data accessed less than once a year."
Topic 1 Qn 211,211,B,Key word: pre trained model,4,,"Leverage on pre-trained model first. strict data residency constraint. 
Now known as model garden. Download, manage, and deploy the model directly inside the me-central1 (Qatar) region. 
Cloud Natural Language API is to handle general entity recognition and sentiment analysis, content classification but cannot generate summaries. "
Topic 1 Qn 212,212,B,API management with Apigee,4,,"goal is to break the monolith down into distributed, modern microservices -> the API structure itself might change.

Apigee is Google Cloud's API management and API gateway platform -> provide a stable endpoint to external consumers -> even when backend monolith app changes to microservices, Apigee will handle the routing and protocol translation."
Topic 1 Qn 213,213,A,Using VPC Peering to limit direct network access,4,,"""organization uses separate Google Cloud projects for shared services, development, testing, and production"" requires a Hub-and-Spoke network topology, where the Shared Services project acts as the ""Hub"" and the environment projects (dev, test, prod) act as the ""Spokes"".

Private Communication: By creating a separate VPC in each project and establishing VPC Network Peering between each environment VPC and the Shared Services VPC, you allow private, internal IP communication. peering is non-transitive. This means if VPC Dev is peered with VPC Hub, and VPC Prod is peered with VPC Hub, traffic cannot transit through the Hub to go from Dev to Prod. 

A full mesh topology means every VPC is peered directly with every other VPC (e.g., Dev peered directly to Prod). This completely defeats the security requirement.

configure a single Shared VPC and attach all projects to it, all environments would live within the same underlying network infrastructure. In a single VPC, resources can inherently communicate with each other across subnets by default"
Topic 1 Qn 214,214,C,Default method to limit direct access to Cloud Run service,4,,
Topic 1 Qn 215,215,A,Only limit the production folder,4,,
Topic 1 Qn 216,216,C,,1,,"audit trail = audit logging

DaemonSets are typically used for background tasks or system-level agents that must be present on every machine E.G. monitoring agents"
Topic 1 Qn 217,217,C,,1,,"application code and the database schema updates. Separate pipelines to decouple your stateless infrastructure changes from your stateful database changes.

rolling update deployment incrementally replaces old version with new version using traffic split. 
blue-green deployment - 2 equal setup"
Topic 1 Qn 218,218,C,,1,,
Topic 1 Qn 219,219,D,,1,Altostrat,"""Google-recommended solution that is easy to integrate and provides Altostrat with control and auditability of the encryption keys""
A. Google-managed encryption keys so lesser control by Altostrat
B. While Google-managed keys protect data at rest by default, they do not give Altostrat control over key rotation/destruction.
C. HashiCorp Vault instance is 3rd party which is to avoid

Cloud Storage automatically encrypts all data at rest on the server side using the Advanced Encryption Standard (AES-256) before it is written to disk. This is enabled by default at no additional charge and requires no configuration. 

Google automatically owns, manages, and rotates the symmetric key encryption keys on your behalf."
Topic 1 Qn 220,220,B,"Save money + batch + interruptible, sign me up for Spot",1,Altostrat,"""jobs are not time-critical and can tolerate occasional interruptions"" -> use spot VM"
Topic 1 Qn 221,221,A,,1,Altostrat,"B. Load testing is a type of performance testing used to determine how a system behaves under a specific expected volume of traffic
C. tests the integration of all microservices, databases, and external UIs working together
D. Integration testing focuses on verifying the communication and data transfer between two or more microservices or components"
Topic 1 Qn 222,222,B,Key words: Analyse performance,2,Altostrat,"""analyze the performance of its media processing pipeline running on Java-based Cloud Run function"". 
B. Cloud Profiler is a continuous profiling tool designed explicitly to analyze application performance. It measures CPU utilization, memory allocation, and other resource-intensive functions within your code

A. Cloud Logging is to capture logs and event entries
C. Cloud trace is to measure latency (the time a request takes to travel between interconnected services or microservices)
D. (formerly Cloud Debugger) is used to inspect the state of an application at a specific line of code in production without stopping it."
Topic 1 Qn 223,223,C,"Google Cloud Armor is specifically designed to protect against DDoS attacks at the different layers. A, B, D are wrong because VPC Service Controls do not block DDoS traffic, and Cloud NGFW is not built to absorb high volumn DDoS attacks, then SCC only monitors and detects security threats.",2,Altostrat,"""Distributed Denial of Service (DDoS) attacks"" - Cloud Armor

Next Gen FW is a distributed, modern cloud firewall service, inspects traffic at the application layer to identify and block network-based threats, Layer 7 application control. cannot absorb the volume of DDoS attacks.
SCC is central vulnerability scanning, risk management, and threat detection platform. it's a monitoring tool but does not provide active, real-time edge inline mitigation to drop DDoS traffic "
Topic 1 Qn 224,224,C,"A,B are dealing with authentication and authorisation. D prevents abuse through securing the endpoint. But since the focus is on cost management, C is the only one that addresses that with quota policies",2,Altostrat,"""control the total number of API calls for cost management."" set Quota"
Topic 1 Qn 225,225,,,2,Knightmoves,"""replicate the deployment of the application across multiple locations"" 


D. multi-cluster Gateway works as a centralized load balancer for applications that run across two GKE clusters in different regions. Routing external requests to the correct cluster and load balancing globally.
https://docs.cloud.google.com/kubernetes-engine/docs/concepts/multi-cluster-gateways  "
Topic 1 Qn 226,226,C,The question is targetting specific vehicle and specific time interval so options A and B are poorly ordered. Option A uses sensor category first means data for every single vehicle is randomly scattered where option B uses timestamp which is bad for Bigtable data storage as it an anti-pattern. Option C is the best as VehicleId then EventId and then Timestamp explicitly match the question and the order is according to most unique.,2,Knightmoves,"a ""multi-tenancy"" use case, a scenario in which you store similar data. 
often retrieve data based on the time when it was recorded, you can include a timestamp as part of your row key. [vehicle_id]#[event_id]#[timestamp]"
Topic 1 Qn 227,227,A,"227 By setting the CPU request just above normal usage, you avoid hoarding unneeded CPU on the node, freeing it up for other workloads (optimising efficiency). Meanwhile, keeping the higher CPU limit in place allows the Pod to ""burst"" and grab extra CPU during sudden traffic spikes (maximising flexibility).
Basically, it gives the best of both worlds:  reserving only what is typically needed, but keep the freedom to use more when it counts.",2,Knightmoves,"https://docs.cloud.google.com/kubernetes-engine/docs/concepts/verticalpodautoscaler  

B. removes all burst flexibility and forces the scheduler to allocate the maximum amount of CPU permanently to every Pod
C. vertical Pod autoscaling evicts a Pod if it needs to change the Pod's resource requests. dangerous for Stateful Pods. can disrupt network connections, trigger database resyncs, or cause brief downtime.
D. scales workloads by adding or removing copies (replicas) of Pods. HPA is not the appropriate mechanism to fix individual over-allocated container sizing"
Topic 1 Qn 228,228,D,"A is a reactive approach, B and C do not restrict users from deploying in other regions",3,Knightmoves,enforce at org level policy
Topic 1 Qn 229,229,A,Pub Sub Pull is used for unreliable network connectivity. Push subscriptions is fragile as it needs the plant's system to be reachable at all times. ,3,Knightmoves,modernize database and to handle parsing issue. centralize copy and the rest just read from the primary instance. 
Topic 1 Qn 230,230,A,"C and D are wrong as de-identified information cannot be used for training of the AI model. CMEK is great for storage, but it does not provide the in-memory, in-use protection during the actual training process that Confidential Computing provides",3,Knightmoves,"BigQuery column-level encryption allows you to encrypt individual values within a table column. ""personalized recommendations""

C & D didn't mention on where the data will be stored. BQML, stores data in BQ and can use it for training your models. Removing the PII data can affect the accuracy of the personalized recommendations."
Topic 1 Qn 231,231,C,Premium tier with a cloud interconnect,3,Knightmoves,"""ensure a guaranteed bandwidth and low latency between the plants and Google Cloud resources"""
Topic 1 Qn 232,232,,,3,Knightmoves,
Topic 1 Qn 233,233,A,principle of least privilege ,3,Knightmoves,"B. full permissions -> uncontrolled use of resources -> manual way of governance
C. uncontrolled spin up of resources with Project Creator role
D. creates more operational administrative overhead "
Topic 1 Qn 234,234,B,question is not on data quality as unpredictability in economic status does not mean bad quality data,3,Knightmoves,
Topic 1 Qn 235,235,D,,4,,"""data exfiltration"" use VPC service controls which is a perimeter-based boundaries around cloud resources and managed services. 

Jupyter notebook-based development environments to build, train, and deploy machine learning models and AI applications."
Topic 1 Qn 236,236,C,vertex ai feature store has capability for measuring latency.,4,,
Topic 1 Qn 237,237,A,deploy active managed instance groups (MIGs) (RTO) & use a cross-region read replica (RPO). Not B because Terraform might take longer than 2 hours,4,,
Topic 1 Qn 238,238,D,"500tb, existing shared 1Gbps",4,,https://docs.cloud.google.com/storage-transfer/docs/transfer-options 
Topic 1 Qn 239,239,A,scheduled workload,4,,
Topic 1 Qn 240,240,B,Optimal mix of cost and high availability,4,,need to minimize costs so A is overkill
Topic 1 Qn 241,241,"B, D",Best choices for serverless data processing and analysis,4,,didn't mention of Hadoop or Spark so no need for Dataproc
